day,observance,sixty_day_psalter_ep,first_lesson,second_lesson
1,"Phil. & Jam.","146","Deut 2 †1-9,14-19,24-37","Luke 2:22-end"
2,"","148","Deut 3","Luke 3:1-22"
3,"","1, 2","Deut 4 †1-18,24-40","Luke 3:23-end"
4,"","5, 6","Deut 5","Luke 4:1-30"
5,"","9","Deut 6","Luke 4:31-end"
6,"","8, 11","Deut 7","Luke 5:1-16"
7,"","12, 13, 14","Deut 8","Luke 5:17-end"
8,"","18:1-20","Deut 9","Luke 6:1-19"
9,"","19","Deut 10","Luke 6:20-38"
10,"","22","Deut 11","Luke 6:39-7:10"
11,"","25","Deut 12","Luke 7:11-35"
12,"","26, 28","Deut 13","Luke 7:36-end"
13,"","29, 30","Deut 14","Luke 8:1-21"
14,"","34","Deut 15","Luke 8:22-end"
15,"","32, 36","Deut 16","Luke 9:1-17"
16,"","37:1-17","Deut 17","Luke 9:18-50"
17,"","40","Deut 18","Luke 9:51-end"
18,"","42, 43","Deut 19","Luke 10:1-24"
19,"","45","Deut 20","Luke 10:25-end"
20,"","47, 48","Deut 21","Luke 11:1-28"
21,"","50","Deut 22","Luke 11:29-end"
22,"","52, 53, 54","Deut 23","Luke 12:1-34"
23,"","56, 57","Deut 24","Luke 12:35-53"
24,"","59","Deut 25","Luke 12:54-13:9"
25,"","61, 62","Deut 26","Luke 13:10-end"
26,"","68:1-18","Deut 27","Luke 14:1-24"
27,"","69:1-18","Deut 28 †1-25,64-68","Luke 14:25-15:10"
28,"","66","Deut 29","Luke 15:11-end"
29,"","71","Deut 30","Luke 16"
30,"","74","Deut 31","Luke 17:1-19"
31,"Visitation","75, 76","Deut 32 †1-10,15-22,39-52","Luke 1:39-56"
