day,observance,sixty_day_psalter_ep,first_lesson,second_lesson
1,"","78:1-18","Deut 33","Luke 17:20-end"
2,"","78:41-73","Deut 34","Luke 18:1-30"
3,"","81","Josh 1","Luke 18:31-19:10"
4,"","84","Josh 2","Luke 19:11-28"
5,"","86, 87","Josh 3","Luke 19:29-end"
6,"","89:1-18","Josh 4","Luke 20:1-26"
7,"","90","Josh 5","Luke 20:27-21:4"
8,"","92, 93","Josh 6","Luke 21:5-end"
9,"","95, 96","Josh 7","Luke 22:1-38"
10,"","99, 100, 101","Josh 8 †1-22,30-35","Luke 22:39-53"
11,"Barnabas","103","Acts 4:32-37","Luke 22:54-end"
12,"","105:1-22","Josh 9","Luke 23:1-25"
13,"","106:1-18","Josh 10 †1-27,40-43","Luke 23:26-49"
14,"","107:1-22","Josh 14 †5-15","Luke 23:50-24:12"
15,"","108, 110","Josh 22 †7-31","Luke 24:13-end"
16,"","111, 112","Josh 23","Gal 1"
17,"","115","Josh 24 †1-31","Gal 2"
18,"","119:1-24","Judg 1 †1-21","Gal 3"
19,"","119:49-72","Judg 2 †6-23","Gal 4"
20,"","119:89-104","Judg 3 †7-30","Gal 5"
21,"","119:129-152","Judg 4","Gal 6"
22,"","118","Judg 5 †1-5,19-31","1 Thess 1"
23,"","122, 123","Judg 6 †1,6,11-24,33-40","1 Thess 2:1-16"
24,"Nat. Bap.","127, 128","1 Thess 2:17-3:end","Matt 14:1-13"
25,"","132, 133","Judg 7 †1-8,16-25","1 Thess 4:1-12"
26,"","136","Judg 8 †4-23,28","1 Thess 4:13-5:11"
27,"","139","Judg 9 †1-6,22-25,43-56","1 Thess 5:12-end"
28,"","140","Judg 10 †6-18","2 Thess 1"
29,"Pet. & Paul","144","2 Thess 2","2 Pet 3:14-end"
30,"","146","Judg 11 †1-11,29-40","2 Thess 3"
