day,observance,sixty_day_psalter_ep,first_lesson,second_lesson
1,"Phil. & Jam.","147","James 4","John 1:43-end"
2,"","149, 150","Job 30","James 5"
3,"","3, 4","Job 31 †1-23,35-40","1 Pet 1:1-21"
4,"","7","Job 32","1 Pet 1:22-2:10"
5,"","10","Job 33","1 Pet 2:11-3:7"
6,"","15, 16","Job 34 †1-15,21-28,31-37","1 Pet 3:8-4:6"
7,"","17","Job 35","1 Pet 4:7-end"
8,"","18:21-52","Job 36","1 Pet 5"
9,"","20, 21","Job 37","2 Pet 1"
10,"","23, 24","Job 38 †1-27,31-33","2 Pet 2"
11,"","27","Job 39","2 Pet 3"
12,"","31","Job 40","Jude"
13,"","33","Job 41","1 John 1:1-2:6"
14,"","35","Job 42","1 John 2:7-end"
15,"","38","Eccl 1","1 John 3:1-10"
16,"","37:18-41","Eccl 2","1 John 3:11-4:6"
17,"","39, 41","Eccl 3","1 John 4:7-end"
18,"","44","Eccl 4","1 John 5"
19,"","46","Eccl 5","2 John"
20,"","49","Eccl 6","3 John"
21,"","51","Eccl 7","Acts 1:1-14"
22,"","55","Eccl 8","Acts 1:15-end"
23,"","58, 60","Eccl 9","Acts 2:1-21"
24,"","63, 64","Eccl 10","Acts 2:22-end"
25,"","65, 67","Eccl 11","Acts 3:1-4:4"
26,"","68:19-36","Eccl 12","Acts 4:5-31"
27,"","69:19-37","Ezek 1","Acts 4:32-5:11"
28,"","70, 72","Ezek 2","Acts 5:12-end"
29,"","73","Ezek 3","Acts 6:1-7:16"
30,"","77","Ezek 4","Acts 7:17-34"
31,"Visitation","79, 82","Ezek 5","Acts 7:35-8:3"
